cycle;feature
1;4,48343767184438
2;4,78348792275978
3;3,88284548978502
4;4,24520296661564
5;3,78101477739367
6;3,92892589712572
7;4,12592112122137
8;3,90258361643755
9;3,74295728539761
10;2,38659007505406
11;3,24053718575761
12;3,1872082422693
13;3,26739301355078
14;3,03837738524365
15;2,88706442184863
16;2,9703944223639
17;2,91777314207799
18;2,75211951051314
19;2,91166550409231
20;3,48837772577077
21;2,2897704098265
22;2,52096151922619
23;2,08210463457802
24;2,1088549254377
25;1,97105269618304
26;2,05219319379857
27;2,08170940700839
28;2,06464112019888
29;1,68559143955857
30;1,06242905971567
